input_row	EID	str_row_ion	compounds	compound_names	input_row	m/z	retention_time	p_value	statistic	CompoundID_from_user
row103	E69	row103_M+H[1+]	C00232;C06002;C00349;C00109;C00164	Succinate semialdehyde; Succinic semialdehyde; 4-Oxobutanoate$(S)-Methylmalonate semialdehyde$2-Methyl-3-oxopropanoate; 3-Oxo-2-methylpropanoate; Methylmalonate semialdehyde$2-Oxobutanoate$Acetoacetate	row103	103.0385	496.0	0.445373084544	0.78	AE_pos_103.0385_496
row152	E87	row152_M+H[1+]	C00472	p-Benzoquinone; Quinone; Chinone; 2,5-Cyclohexadiene-1,4-dione; 1,4-Benzoquinone	row152	109.0279	132.0	0.00418829070619	3.34	AE_pos_109.0279_132
row179	E95	row179_M+H[1+]	C05130	Imidazole-4-acetaldehyde; Imidazole acetaldehyde	row179	111.0556	124.0	0.783169205349	0.28	AE_pos_111.0556_124
row191	E99	row191_M+H[1+];row5334_M[1+]	C05522;C00380	Cytosine (in DNA)$Cytosine	row191	112.0501	181.0	0.00913297290352	2.96	AE_pos_112.0501_181
row195	E102	row195_M+H[1+]	C14859;C14858;C14857	Chloroacetyl chloride$2,2-Dichloroacetaldehyde$1,1-Dichloroethylene epoxide; 2,2-Dichlorooxirane	row195	112.9553	34.0	0.929043850091	-0.09	AE_pos_112.9553_34
row201	E104	row201_M+H+Na[2+];row5725_M+Na[1+]	C06206	Benzoyl phosphate	row201	113.0006	165.0	0.261071817622	-1.17	AE_pos_113.0006_165
row204	E108	row204_M+Na[1+]	C00577;C00256;C01013;C00186;C00184	D-Glyceraldehyde$D-Lactate$3-Hydroxypropanoate; 3-Hydroxypropanoic acid; 3-Hydroxypropionate; 3-Hydroxypropionic acid; Hydracrylic acid$L-Lactate$Dihydroxyacetone	row204	113.0203	103.0	1.1439552873e-16	35.62	AE_pos_113.0203_103
row205	E110	row205_M+H[1+]	C04221	trans-1,2-Dihydrobenzene-1,2-diol	row205	113.0593	128.0	0.314724264603	1.04	AE_pos_113.0593_128
row207	E119	row207_M+Na[1+];row6733_M+H[1+];row765_M+HCOONa[1+]	CE1950	cyanosulfurous acid anion	row207	113.9632	40.0	0.192296528692	-1.36	AE_pos_113.9632_40
row212	E121	row212_M+H[1+]	C03912;C03564	1-Pyrroline-5-carboxylate$1-Pyrroline-2-carboxylate; 1-Pyrroline-2-carboxylic acid; delta1-Pyrroline 2-carboxylate	row212	114.0543	71.0	0.0629671008844	2.0	AE_pos_114.0543_71
row213	E123	row213_M+H[1+]	C03912;C03564	1-Pyrroline-5-carboxylate$1-Pyrroline-2-carboxylate; 1-Pyrroline-2-carboxylic acid; delta1-Pyrroline 2-carboxylate	row213	114.0544	414.0	0.789246139455	0.27	AE_pos_114.0544_414
row227	E131	row227_M+2H[2+];row6536_M+Na[1+]	C06424	tetradecanoate (n-C14:0)	row227	115.1111	483.0	0.808512171908	0.25	AE_pos_115.1111_483
row235	E137	row235_M+2H[2+];row7457_M+H[1+]	C01101;C00231;C03736;C00117;C00442;C00620;C00199	L-Ribulose 5-phosphate$D-Xylulose 5-phosphate$alpha-D-Ribose 5-phosphate$alpha-D-Ribose 5-phosphate$alpha-D-Ribose 1-phosphate$alpha-D-Ribose 1-phosphate$D-Ribulose 5-phosphate	row235	116.016	419.0	0.243228615773	-1.21	AE_pos_116.016_419
row238	E138	row238_M+H[1+]	CE4788;C00763;C00148	acetamidopropanal$D-Proline$L-Proline	row238	116.0701	47.0	0.252992961879	-1.19	AE_pos_116.0701_47
row244	E141	row244_M+Na[1+]	C06755	Chloroacetic acid; Chloroethanoic acid	row244	116.9711	33.0	0.189240242259	-1.37	AE_pos_116.9711_33
row260	E145	row260_M+H[1+]	C00719;C00431;C00183	Glycine betaine$5-Aminopentanoate; 5-Aminopentanoic acid; 5-Aminovaleric acid$L-Valine	row260	118.0858	54.0	0.229842270287	-1.25	AE_pos_118.0858_54
row270	E147	row270_M+H[1+];row6414_M(C13)+H[1+]	C02170;C00042	Methylmalonate; Methylmalonic acid$Succinate	row270	119.0346	351.0	0.186124536683	1.38	AE_pos_119.0346_351
row278	E157	row278_M+H[1+]	C05519;C00188	L-Allo-threonine$L-Threonine	row278	120.0649	189.0	0.595845901981	0.54	AE_pos_120.0649_189
row279	E155	row279_M+H[1+]	C05519;C00188	L-Allo-threonine$L-Threonine	row279	120.0649	56.0	0.0159909902763	2.69	AE_pos_120.0649_56
row312	E175	row1538_M+H[1+];row312_M+2H[2+];row4977_M(C13)+2H[2+]	C00627	Pyridoxine 5'-phosphate	row312	125.5283	165.0	0.671705186855	-0.43	AE_pos_125.5283_165
row319	E176	row319_M+H[1+];row603_M+Na[1+];row7396_M(C13)+H[1+]	C00245	Taurine	row319	126.0213	60.0	0.900533762434	0.13	AE_pos_126.0213_60
row331	E184	row331_M+H[1+];row5381_M(C13)+H[1+]	C00178;C02835	Thymine$Imidazole-4-acetate; Imidazoleacetic acid; 4-Imidazoleacetate	row331	127.0511	33.0	0.0308782034003	2.37	AE_pos_127.0511_33
row342	E187	row342_M+2H[2+];row5837_M+Na[1+]	C16582;C16584	2-Hydroxyfelbamate$p-Hydroxyfelbamate	row342	128.0533	292.0	0.0163971385087	2.68	AE_pos_128.0533_292
row346	E193	row346_M+H[1+]	C04092;C00450	delta1-Piperideine-2-carboxylate; 1,2-Didehydropiperidine-2-carboxylate$2,3,4,5-Tetrahydropyridine-2-carboxylate; delta1-Piperideine-6-L-carboxylate	row346	128.0702	55.0	0.241759153442	-1.22	AE_pos_128.0702_55
row351	E201	row351_M+H[1+]	C11149		row351	128.9502	27.0	0.870820923359	-0.17	AE_pos_128.9502_27
row352	E202	row352_M+Na[1+]	C06614;C06615	trans-3-Chloroacrylic acid$cis-3-Chloroacrylic acid	row352	128.9704	23.0	0.303498967319	1.06	AE_pos_128.9704_23
row357	E209	row357_M+H[1+]	C00906	5,6-Dihydrothymine	row357	129.0663	418.0	0.179920662969	-1.4	AE_pos_129.0663_418
row376	E213	row376_M+H[1+];row396_M(C13)+H[1+]	C01879;C04281;C04282	5-Oxoproline$L-1-Pyrroline-3-hydroxy-5-carboxylate$1-Pyrroline-4-hydroxy-2-carboxylate	row376	130.0491	115.0	0.404480677214	0.86	AE_pos_130.0491_115
row376	E215	row376_M+H[1+]	C02238	5-Oxo-L-proline	row376	130.0491	115.0	0.404480677214	0.86	AE_pos_130.0491_115
row380	E222	row380_M+H[1+];row401_M(C13)+H[1+]	C05936;C00408	N4-Acetylaminobutanal$L-Pipecolate; Pipecolinic acid; Pipecolic acid; 2-Piperidinecarboxylic acid	row380	130.0859	60.0	0.146058542224	1.53	AE_pos_130.0859_60
row388	E223	row388_M+H[1+];row5387_M[1+];row672_M+Na[1+]	C14860		row388	130.9657	35.0	0.48266418094	-0.72	AE_pos_130.9657_35
row391	E86	row391_M+Na[1+]	C00472	p-Benzoquinone; Quinone; Chinone; 2,5-Cyclohexadiene-1,4-dione; 1,4-Benzoquinone	row391	131.0107	25.0	0.337272805364	-0.99	AE_pos_131.0107_25
row393	E232	row393_M+H[1+]	C01732;C00490	Mesaconate; 2-Methylfumarate; Mesaconic acid; Methylfumaric acid$Itaconate; Itaconic acid; Methylenesuccinic acid	row393	131.0331	68.0	1.99293957084e-09	12.03	AE_pos_131.0331_68
row396	E213	row376_M+H[1+];row396_M(C13)+H[1+]	C01879;C04281;C04282	5-Oxoproline$L-1-Pyrroline-3-hydroxy-5-carboxylate$1-Pyrroline-4-hydroxy-2-carboxylate	row396	131.0524	130.0	0.0692609776278	1.95	AE_pos_131.0524_130
row399	E220	row399_M+H[1+]	C00671;C00233;C06102;C03465	(S)-3-Methyl-2-oxopentanoate$4-Methyl-2-oxopentanoate$Adipate semialdehyde; Hexan-1-one-6-carboxylate; 6-Oxohexanoate$3-Methyl-2-oxopentanoate; 2-Oxo-3-methylvalerate	row399	131.0692	502.0	0.103804683029	-1.72	AE_pos_131.0692_502
row401	E222	row380_M+H[1+];row401_M(C13)+H[1+]	C05936;C00408	N4-Acetylaminobutanal$L-Pipecolate; Pipecolinic acid; Pipecolic acid; 2-Piperidinecarboxylic acid	row401	131.089	66.0	0.450390403306	0.77	AE_pos_131.089_66
row409	E248	row409_M+H[1+]	C03341;C01165;C01157;C00430;C03440;C01110	2-Amino-4-oxopentanoic acid; 2-Amino-4-oxopentanoate$L-Glutamate 5-semialdehyde; L-Glutamate gamma-semialdehyde$trans-4-Hydroxy-L-proline$5-Aminolevulinate; 5-Amino-4-oxopentanoate; 5-Amino-4-oxovaleric acid$cis-4-Hydroxy-D-proline$5-Amino-2-oxopentanoic acid; 5-Amino-2-oxopentanoate; 2-Oxo-5-amino-pentanoate; 2-Oxo-5-aminopentanoate; alpha-Keto-delta-aminopentanoate; 2-Oxo-5-aminovalerate	row409	132.0649	57.0	0.0177641208782	-2.64	AE_pos_132.0649_57
row418	E245	row418_M+H[1+];row5486_M+Na[1+]	C02642;C00152	N-Carbamoyl-beta-alanine$L-Asparagine	row418	133.0597	51.0	0.373516431264	-0.92	AE_pos_133.0597_51
row422	E254	row422_M+H[1+]	C06103	6-Hydroxyhexanoic acid; 6-Hydroxyhexanoate	row422	133.0859	38.0	0.803339470618	0.25	AE_pos_133.0859_38
row428	E260	row428_M+H[1+]	C00049;C00402	L-Aspartate$D-Aspartate	row428	134.0441	99.0	0.00029852294736	-4.6	AE_pos_134.0441_99
row433	E270	row433_M+H[1+]	CE1395		row433	134.0957	315.0	0.483728218659	0.72	AE_pos_134.0957_315
row447	E264	row447_M+H[1+]	C05649	Dihydropteridine; 6,7-Dihydropteridine	row447	135.0661	65.0	1.66284403332e-05	-6.06	AE_pos_135.0661_65
row447	E276	row1239_M+HCOONa[1+];row447_M+H[1+]	CE0520;C01801	(R)-glycerol 1-acetate$Deoxyribose	row447	135.0661	65.0	1.66284403332e-05	-6.06	AE_pos_135.0661_65
row451	E112	row451_M+Na[1+]	C00791		row451	136.0485	74.0	0.0510202484292	-2.11	AE_pos_136.0485_74
row452	E283	row452_M+H[1+]	C00147	Adenine	row452	136.0613	351.0	0.583390353074	0.56	AE_pos_136.0613_351
row453	E281	row453_M+H[1+]	C00147	Adenine	row453	136.0623	60.0	4.10558739387e-05	5.58	AE_pos_136.0623_60
row461	E292	row461_M+H[1+];row5407_M[1+]	C01620;C00262	$Hypoxanthine	row461	137.0449	293.0	0.156359882821	-1.49	AE_pos_137.0449_293
row462	E293	row462_M+H[1+]	C07086;C03765	Phenylacetic acid; Benzylformic acid; Phenylacetate; Benzeneacetiic acid$4-Hydroxyphenylacetaldehyde	row462	137.059	98.0	0.500540390239	-0.69	AE_pos_137.059_98
row463	E294	row463_M+H[1+]	C07086;C03765	Phenylacetic acid; Benzylformic acid; Phenylacetate; Benzeneacetiic acid$4-Hydroxyphenylacetaldehyde	row463	137.0588	382.0	0.570251823482	0.58	AE_pos_137.0588_382
row471	E139	row471_M+Na[1+]	CE4788;C00763;C00148	acetamidopropanal$D-Proline$L-Proline	row471	138.0519	91.0	0.00743116246304	-3.06	AE_pos_138.0519_91
row472	E304	row472_M+H[1+]	C00483;C01183;C02735	Tyramine$N,N-Dimethylaniline N-oxide$Phenylethanolamine; 2-Amino-1-phenylethanol	row472	138.0912	132.0	0.714249865576	0.37	AE_pos_138.0912_132
row487	E315	row487_M+Na[1+]	C16622	N,N'-Diacetylhydrazine; Diacetylhydrazine	row487	139.0492	86.0	0.435266544697	0.8	AE_pos_139.0492_86
row487	E317	row487_M+H[1+]	C00785	Urocanate	row487	139.0492	86.0	0.435266544697	0.8	AE_pos_139.0492_86
row501	E310	row501_M+H[1+]	C00870	4-Nitrophenol; p-Nitrophenol; PNP; Niphen; 4-Hydroxynitrobenzene	row501	140.0336	547.0	0.0113249876285	-2.86	AE_pos_140.0336_547
row512	E324	row512_M+H[1+]	C00227	Acetyl phosphate	row512	140.9953	40.0	0.549170392574	-0.61	AE_pos_140.9953_40
row513	E326	row513_M+H[1+]	C00227	Acetyl phosphate	row513	140.9953	519.0	0.354268309495	-0.95	AE_pos_140.9953_519
row514	E149	row514_M+Na[1+]	CE1401	homocysteine thiolactone	row514	141.023	78.0	0.449798845548	0.77	AE_pos_141.023_78
row516	E329	row516_M+H[1+]	C05828	3-Methylimidazoleacetic acid	row516	141.0663	163.0	0.771140878432	0.3	AE_pos_141.0663_163
row517	E330	row517_M+H[1+]	C05828	3-Methylimidazoleacetic acid	row517	141.066	495.0	0.0280287163649	-2.42	AE_pos_141.066_495
row526	E334	row526_M+H[1+];row824_M+Na[1+]	C00346	Ethanolamine phosphate	row526	142.0257	65.0	0.32446349461	-1.02	AE_pos_142.0257_65
row554	E339	row554_M+Na[1+]	C09815	Benzamide	row554	144.0424	40.0	0.63918676368	0.48	AE_pos_144.0424_40
row570	E341	row570_M+H[1+]	C11713;C11714;C14787;C14786	beta-Naphthol; 2-Naphthol$$(1S,2R)-Naphthalene 1,2-oxide; (1S,2R)-Naphthalene epoxide$(1R,2S)-Naphthalene 1,2-oxide; (1R,2S)-Naphthalene epoxide	row570	145.0646	98.0	0.210970832094	-1.3	AE_pos_145.0646_98
row576	E362	row576_M+H[1+]	C06423	Octanoic acid; Caprylic acid; Octylic acid	row576	145.1216	524.0	0.55713127923	-0.6	AE_pos_145.1216_524
row588	E353	row588_M+H[1+]	C03239;C02946;C04076	6-Amino-2-oxohexanoate; 2-Oxo-6-aminocaproate$4-Acetamidobutanoate$L-2-Aminoadipate 6-semialdehyde; 2-Aminoadipate 6-semialdehyde	row588	146.0807	50.0	0.971357032821	-0.04	AE_pos_146.0807_50
row590	E373	row590_M+H[1+]	C05543	3-Dehydroxycarnitine	row590	146.1172	69.0	0.0332214861551	2.33	AE_pos_146.1172_69
row591	E376	row591_M+H[1+];row7223_M(C13)+H[1+]	CE5586;C00315	dehydrospermidine$Spermidine	row591	146.1649	40.0	7.98246708992e-06	6.45	AE_pos_146.1649_40
row596	E380	row596_M+H[1+]	C00026	2-Oxoglutarate	row596	147.0298	98.0	0.959350840738	-0.05	AE_pos_147.0298_98
row600	E381	row600_M+H[1+];row6787_M(C13)+H[1+]	C00047	L-Lysine	row600	147.1122	49.0	0.00391980586825	3.37	AE_pos_147.1122_49
row603	E176	row319_M+H[1+];row603_M+Na[1+];row7396_M(C13)+H[1+]	C00245	Taurine	row603	148.0035	61.0	0.00822259986351	3.01	AE_pos_148.0035_61
row607	E385	row5017_M+Na[1+];row607_M+H[1+]	C00217;C00025;C00302;C05938	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid$L-Glutamate$DL-Glutamate; DL-Glutaminic acid; 2-Aminoglutaric acid; Glutamate$L-4-Hydroxyglutamate semialdehyde	row607	148.0601	66.0	0.217619195124	-1.28	AE_pos_148.0601_66
row619	E386	row619_M+H[1+]	C00418	(R)-Mevalonate	row619	149.081	54.0	0.000166055447692	-4.88	AE_pos_149.081_54
row620	E389	row620_M+H[1+]	C00418	(R)-Mevalonate	row620	149.0817	483.0	0.29935769356	1.07	AE_pos_149.0817_483
row637	E387	row637_M(C13)+H[1+];row910_M+Na[1+]	C00418	(R)-Mevalonate	row637	150.0849	147.0	0.859189518148	0.18	AE_pos_150.0849_147
row644	E399	row644_M+H[1+]	C14872		row644	151.0046	64.0	0.224209256571	-1.26	AE_pos_151.0046_64
row647	E403	row647_M+H[1+]	C00259;C00508;C00309;C00312;C00310;C00121;C00181	L-Arabinose$L-Ribulose; L-erythro-Pentulose; L-Arabinoketose; L-Arabinulose; L-Riboketose$D-Ribulose; D-erythro-2-Pentulose; D-Arabinoketose; D-Arabinulose; D-Riboketose$L-Xylulose$D-Xylulose$D-Ribose$D-Xylose	row647	151.0608	54.0	0.0608242930385	-2.02	AE_pos_151.0608_54
row647	E404	row647_M(C13)+H[1+];row6791_M+H[1+]	C00073	L-Methionine	row647	151.0608	54.0	0.0608242930385	-2.02	AE_pos_151.0608_54
row649	E405	row649_M+H[1+]	C02646	4-Coumaryl alcohol; 4-Hydroxycinnamyl alcohol; p-Coumaryl alcohol	row649	151.0753	276.0	0.861870953274	-0.18	AE_pos_151.0753_276
row671	E428	row671_M+Na[1+]	C06790	Trichloroethene; Trichloroethylene; TCE	row671	152.9025	473.0	0.719413790396	-0.37	AE_pos_152.9025_473
row672	E223	row388_M+H[1+];row5387_M[1+];row672_M+Na[1+]	C14860		row672	152.9479	47.0	0.481382853446	0.72	AE_pos_152.9479_47
row673	E225	row673_M+Na[1+]	C14860		row673	152.9478	495.0	0.0644726606341	-1.99	AE_pos_152.9478_495
row674	E411	row674_M+H[1+]	C05527	3-Sulfinopyruvate	row674	152.9864	56.0	0.485539768865	0.71	AE_pos_152.9864_56
row679	E433	row679_M+H[1+]	C05842;C05843	N1-Methyl-2-pyridone-5-carboxamide; N'-Methyl-2-pyridone-5-carboxamide; 1-Methyl-5-carboxylamide-2-pyridone$N1-Methyl-4-pyridone-5-carboxamide; N'-Methyl-4-pyridone-5-carboxamide; 1-Methyl-4-pyridone-3-carboximide	row679	153.0671	119.0	0.305595981041	-1.06	AE_pos_153.0671_119
row681	E437	row681_M+H[1+];row951_M+Na[1+]	C00379;C00532	Xylitol$L-Arabinitol	row681	153.0765	69.0	0.000164424690048	-4.89	AE_pos_153.0765_69
row693	E249	row693_M+Na[1+]	C03341;C01165;C01157;C00430;C03440;C01110	2-Amino-4-oxopentanoic acid; 2-Amino-4-oxopentanoate$L-Glutamate 5-semialdehyde; L-Glutamate gamma-semialdehyde$trans-4-Hydroxy-L-proline$5-Aminolevulinate; 5-Amino-4-oxopentanoate; 5-Amino-4-oxovaleric acid$cis-4-Hydroxy-D-proline$5-Amino-2-oxopentanoic acid; 5-Amino-2-oxopentanoate; 2-Oxo-5-amino-pentanoate; 2-Oxo-5-aminopentanoate; alpha-Keto-delta-aminopentanoate; 2-Oxo-5-aminovalerate	row693	154.0484	72.0	0.00328355415928	-3.45	AE_pos_154.0484_72
row693	E442	row693_M+H[1+]	C00632	3-Hydroxyanthranilate	row693	154.0484	72.0	0.00328355415928	-3.45	AE_pos_154.0484_72
row695	E443	row695_M+Na[1+]	C00123;C00407	L-Leucine$L-Isoleucine	row695	154.0842	51.0	0.00289144678109	-3.51	AE_pos_154.0842_51
row696	E447	row696_M+H[1+]	C03758	Dopamine	row696	154.0855	445.0	0.0159665118638	-2.69	AE_pos_154.0855_445
row698	E450	row1837_M+H[1+];row1909_M+Na[1+];row698_M+2H[2+]	C00051	Reduced glutathione	row698	154.5498	89.0	0.548458591856	-0.61	AE_pos_154.5498_89
row712	E464	row712_M+H[1+]	CE2577		row712	155.106	543.0	0.475895513251	-0.73	AE_pos_155.106_543
row713	E460	row713_M+H[1+]	CE2577		row713	155.1061	120.0	0.0338890826472	-2.32	AE_pos_155.1061_120
row718	E261	row718_M+Na[1+]	C00049;C00402	L-Aspartate$D-Aspartate	row718	156.0256	111.0	0.0103937665376	-2.9	AE_pos_156.0256_111
row720	E466	row5487_M+H[1+];row720_M(C13)+H[1+]	C06608	Diethylphosphoric acid; O,O-Diethylphosphoric acid	row720	156.0495	515.0	0.917463238079	-0.11	AE_pos_156.0495_515
row722	E468	row722_M+H[1+]	C11036	Bromobenzene	row722	156.9655	512.0	0.411262090858	-0.84	AE_pos_156.9655_512
row723	E467	row723_M+H[1+]	C11036	Bromobenzene	row723	156.9653	16.0	0.447639848171	0.78	AE_pos_156.9653_16
row724	E469	row724_M+H[1+]	C00988	2-Phosphoglycolate	row724	156.99	43.0	0.75255339994	0.32	AE_pos_156.99_43
row725	E470	row725_M+H[1+]	C00988	2-Phosphoglycolate	row725	156.99	304.0	0.702655439776	-0.39	AE_pos_156.99_304
row728	E266	row728_M+Na[1+]	C05649;CE0520;C01801	Dihydropteridine; 6,7-Dihydropteridine$(R)-glycerol 1-acetate$Deoxyribose	row728	157.0487	470.0	0.561421130912	-0.59	AE_pos_157.0487_470
row730	E472	row730_M+H[1+]	CE2026	3-methylcrotonoylglycine	row730	157.0732	552.0	0.0906464337293	-1.8	AE_pos_157.0732_552
row734	E473	row734_M+H[1+]	CE2006;CE6506	$	row734	157.1216	110.0	0.752828303062	0.32	AE_pos_157.1216_110
row734	E481	row1940_M+Na[1+];row734_M+2H[2+]	C04717;C14827	(9Z,11E)-(13S)-13-Hydroperoxyoctadeca-9,11-dienoic acid; (9Z,11E)-(13S)-13-Hydroperoxyoctadeca-9,11-dienoate; 13(S)-HPODE; 13S-Hydroperoxy-9Z,11E-octadecadienoic acid$9(S)-HPODE; 9(S)-HPOD; (10E,12Z)-(9S)-9-Hydroperoxyoctadeca-10,12-dienoic acid	row734	157.1216	110.0	0.752828303062	0.32	AE_pos_157.1216_110
row756	E291	row4993_M+H[1+];row756_M+Na[1+]	C01620;C00262	$Hypoxanthine	row756	159.0264	57.0	0.980622267974	0.02	AE_pos_159.0264_57
row765	E119	row207_M+Na[1+];row6733_M+H[1+];row765_M+HCOONa[1+]	CE1950	cyanosulfurous acid anion	row765	159.967	46.0	0.581806303023	0.56	AE_pos_159.967_46
row770	E498	row770_M+Na[1+]	1mncam;C02918	1-Methylnicotinamide$1-Methylnicotinamide	row770	160.0614	551.0	0.902781096915	-0.12	AE_pos_160.0614_551
row771	E499	row771_M+H[1+]	C00637;C14789	Indole-3-acetaldehyde$	row771	160.0756	185.0	0.0929858625387	1.79	AE_pos_160.0756_185
row780	E501	row780_M+H[1+]	C00322	2-Oxoadipate	row780	161.046	530.0	0.0098501343995	-2.93	AE_pos_161.046_530
row783	E502	row783_M[1+];row801_M+H[1+]	C00956	L-2-Aminoadipate; L-alpha-Aminoadipate; L-alpha-Aminoadipic acid; L-2-Aminoadipic acid; L-2-Aminohexanedioate	row783	161.0702	141.0	0.0317029253364	2.35	AE_pos_161.0702_141
row785	E511	row785_M+H[1+]	C00398	Tryptamine	row785	161.1067	192.0	0.802378020565	0.25	AE_pos_161.1067_192
row801	E502	row783_M[1+];row801_M+H[1+]	C00956	L-2-Aminoadipate; L-alpha-Aminoadipate; L-alpha-Aminoadipic acid; L-2-Aminoadipic acid; L-2-Aminohexanedioate	row801	162.0752	124.0	0.266732442082	1.15	AE_pos_162.0752_124
row802	E506	row802_M+H[1+]	C00318	L-Carnitine	row802	162.1118	94.0	0.364679533543	-0.93	AE_pos_162.1118_94
row803	E508	row803_M+H[1+]	C00318	L-Carnitine	row803	162.1118	456.0	0.39062836037	0.88	AE_pos_162.1118_456
row813	E531	row1886_M+H[1+];row1889_M(C13)+H[1+];row1977_M+Na[1+];row813_M(C13)+2H[2+]	C00055	CMP	row813	163.0359	108.0	0.0703302078845	-1.94	AE_pos_163.0359_108
row818	E536	row818_M+H[1+]	C06205	1,2-Dihydronaphthalene-1,2-diol	row818	163.0748	67.0	0.549836586462	-0.61	AE_pos_163.0748_67
row819	E537	row819_M+H[1+]	C06205	1,2-Dihydronaphthalene-1,2-diol	row819	163.0746	285.0	0.0805865231139	-1.87	AE_pos_163.0746_285
row824	E334	row526_M+H[1+];row824_M+Na[1+]	C00346	Ethanolamine phosphate	row824	164.0078	62.0	0.0468395771429	2.15	AE_pos_164.0078_62
row825	E539	row825_M+Na[1+]	C03824	2-Aminomuconate 6-semialdehyde	row825	164.0303	75.0	6.24085922107e-06	-6.59	AE_pos_164.0303_75
row852	E546	row1090_M+Na[1+];row852_M+H[1+]	C06199	Hordenine; 4-[2-(Dimethylamino)ethyl]phenol	row852	166.1211	171.0	0.270002348365	-1.14	AE_pos_166.1211_171
row853	E547	row1091_M+Na[1+];row853_M+H[1+]	C06199	Hordenine; 4-[2-(Dimethylamino)ethyl]phenol	row853	166.1216	518.0	0.561042176178	-0.59	AE_pos_166.1216_518
row862	E550	row6463_M+H[1+];row862_M(C13)+H[1+]	C00079;CE2172	L-Phenylalanine$	row862	167.0886	55.0	2.63260243852e-05	-5.82	AE_pos_167.0886_55
row863	E555	row1451_M+HCOONa[1+];row863_M+H[1+]	C11924	Perillic acid	row863	167.106	156.0	0.0602924857052	2.02	AE_pos_167.106_156
row875	E355	row875_M+Na[1+]	C03239;C02946;C04076	6-Amino-2-oxohexanoate; 2-Oxo-6-aminocaproate$4-Acetamidobutanoate$L-2-Aminoadipate 6-semialdehyde; 2-Aminoadipate 6-semialdehyde	row875	168.0643	138.0	0.085803851171	-1.83	AE_pos_168.0643_138
row875	E563	row1108_M+Na[1+];row875_M+H[1+]	C00250	Pyridoxal	row875	168.0643	138.0	0.085803851171	-1.83	AE_pos_168.0643_138
row876	E564	row876_M+H[1+]	C00250	Pyridoxal	row876	168.0649	500.0	0.000618722750692	4.24	AE_pos_168.0649_500
row877	E565	row877_M+H[1+]	C16396	2,4-Diamino-6-nitrotoluene	row877	168.0761	59.0	0.220781197256	1.27	AE_pos_168.0761_59
row878	E372	row878_M+Na[1+]	C05543	3-Dehydroxycarnitine	row878	168.1001	53.0	0.191410265368	-1.36	AE_pos_168.1001_53
row879	E374	row879_M+Na[1+]	C05543	3-Dehydroxycarnitine	row879	168.1008	412.0	0.269087025787	1.14	AE_pos_168.1008_412
row879	E569	row879_M+H[1+]	C05587;C07453	3-Methoxytyramine$Epinine; Deoxyepinephrine	row879	168.1008	412.0	0.269087025787	1.14	AE_pos_168.1008_412
row886	E570	row886_M+H[1+]	C05528	3-Sulfopyruvate; 3-Sulfopyruvic acid	row886	168.9799	33.0	0.871892987309	-0.16	AE_pos_168.9799_33
row887	E572	row7980_M(C13)+H[1+];row887_M+H[1+]	C05528	3-Sulfopyruvate; 3-Sulfopyruvic acid	row887	168.9799	424.0	0.421897489908	0.82	AE_pos_168.9799_424
