pathway	overlap_size	pathway_size	p-value	overlap_EmpiricalCompounds (id)	overlap_features (id)	overlap_features (name)
Sialic acid metabolism	5	17	0.0403327451474666	E907,E753,E636,E1389,E562	C00128,C01074/C01132/C00645/C00140,C00031/C00221/C00247/C02336/C00267/C00738/C00936/C00095/C00962/C01582/C00795/C00137/C00293/C00124/C00984/C00159,C00718/C05796,C00074	CMP-N-acetylneuraminate$N-Acetylgalactosamine; N-Acetylchondrosamine; 2-Acetamido-2-deoxygalactose; GalNAc/N-Acetyl-D-galactosamine/N-Acetyl-D-mannosamine; 2-Acetamido-2-deoxy-D-mannose/N-Acetyl-D-glucosamine$D-Glucose/beta-D-Glucose/L-Sorbose; L-xylo-Hexulose/beta-D-Fructose; beta-Fruit sugar; beta-D-arabino-Hexulose; beta-Levulose; Fructose/alpha-D-Glucose/D-Hexose//D-Fructose/beta-D-Galactose/Galactose/D-Tagatose; lyxo-Hexulose/myo-Inositol/Glucose/D-Galactose/alpha-D-Galactose/D-Mannose$Amylose; Amylose chain; (1,4-alpha-D-Glucosyl)n; (1,4-alpha-D-Glucosyl)n+1; (1,4-alpha-D-Glucosyl)n-1; 4-{(1,4)-alpha-D-Glucosyl}(n-1)-D-glucose; 1,4-alpha-D-Glucan/Galactan$Phosphoenolpyruvate
Glycosphingolipid biosynthesis - ganglioseries	3	8	0.0465507100243677	E753,E907,E636	C01074/C01132/C00645/C00140,C00128,C00031/C00221/C00247/C02336/C00267/C00738/C00936/C00095/C00962/C01582/C00795/C00137/C00293/C00124/C00984/C00159	N-Acetylgalactosamine; N-Acetylchondrosamine; 2-Acetamido-2-deoxygalactose; GalNAc/N-Acetyl-D-galactosamine/N-Acetyl-D-mannosamine; 2-Acetamido-2-deoxy-D-mannose/N-Acetyl-D-glucosamine$CMP-N-acetylneuraminate$D-Glucose/beta-D-Glucose/L-Sorbose; L-xylo-Hexulose/beta-D-Fructose; beta-Fruit sugar; beta-D-arabino-Hexulose; beta-Levulose; Fructose/alpha-D-Glucose/D-Hexose//D-Fructose/beta-D-Galactose/Galactose/D-Tagatose; lyxo-Hexulose/myo-Inositol/Glucose/D-Galactose/alpha-D-Galactose/D-Mannose
Purine metabolism	8	34	0.04688681623392992	E291,E282,E955,E951,E385,E1471,E562,E281	C01620/C00262,C00147,C00360,C00020/C00362,C00217/C00025/C00302/C05938,C00294,C00074,C00147	/Hypoxanthine$Adenine$dAMP$AMP/dGMP$D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/DL-Glutamate; DL-Glutaminic acid; 2-Aminoglutaric acid; Glutamate/L-4-Hydroxyglutamate semialdehyde$Inosine$Phosphoenolpyruvate$Adenine
Tryptophan metabolism	10	46	0.049575665910427696	E539,E751,E540,E1275,E636,E829,E951,E450,E385,E492	C03824,C00643,C03824,C00780,C00031/C00221/C00247/C02336/C00267/C00738/C00936/C00095/C00962/C01582/C00795/C00137/C00293/C00124/C00984/C00159,C05648,C00020/C00362,C00051,C00217/C00025/C00302/C05938,C02220	2-Aminomuconate 6-semialdehyde$5-Hydroxy-L-tryptophan$2-Aminomuconate 6-semialdehyde$Serotonin$D-Glucose/beta-D-Glucose/L-Sorbose; L-xylo-Hexulose/beta-D-Fructose; beta-Fruit sugar; beta-D-arabino-Hexulose; beta-Levulose; Fructose/alpha-D-Glucose/D-Hexose//D-Fructose/beta-D-Galactose/Galactose/D-Tagatose; lyxo-Hexulose/myo-Inositol/Glucose/D-Galactose/alpha-D-Galactose/D-Mannose$5-Hydroxy-N-formylkynurenine; 5-Hydroxy-N-formyl-L-kynurenine$AMP/dGMP$Reduced glutathione$D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/DL-Glutamate; DL-Glutaminic acid; 2-Aminoglutaric acid; Glutamate/L-4-Hydroxyglutamate semialdehyde$2-Aminomuconate
Glutathione Metabolism	4	13	0.05024787832955214	E1282,E884,E385,E450	C03740,C00127,C00217/C00025/C00302/C05938,C00051	5-L-Glutamyl-L-alanine$Oxidized glutathione$D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/DL-Glutamate; DL-Glutaminic acid; 2-Aminoglutaric acid; Glutamate/L-4-Hydroxyglutamate semialdehyde$Reduced glutathione
Vitamin E metabolism	2	4	0.05100411730106714	E1008,E951	CE7072,C00020/C00362	13'-carboxy-gama-tocotrienol$AMP/dGMP
Aminosugars metabolism	5	19	0.05923871943534157	E907,E753,E385,E235,E562	C00128,C01074/C01132/C00645/C00140,C00217/C00025/C00302/C05938,C00352/C06377,C00074	CMP-N-acetylneuraminate$N-Acetylgalactosamine; N-Acetylchondrosamine; 2-Acetamido-2-deoxygalactose; GalNAc/N-Acetyl-D-galactosamine/N-Acetyl-D-mannosamine; 2-Acetamido-2-deoxy-D-mannose/N-Acetyl-D-glucosamine$D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/DL-Glutamate; DL-Glutaminic acid; 2-Aminoglutaric acid; Glutamate/L-4-Hydroxyglutamate semialdehyde$D-Glucosamine 6-phosphate/D-Galactosamine 6-phosphate$Phosphoenolpyruvate
Glycerophospholipid metabolism	8	36	0.06108730358793379	E1011,E276,E84,E636,E108,E872,E1037,E863	,,,C00031/C00221/C00247/C02336/C00267/C00738/C00936/C00095/C00962/C01582/C00795/C00137/C00293/C00124/C00984/C00159,C00577/C00256/C01013/C00186/C00184,C00836,,C02934/C00319	$$$D-Glucose/beta-D-Glucose/L-Sorbose; L-xylo-Hexulose/beta-D-Fructose; beta-Fruit sugar; beta-D-arabino-Hexulose; beta-Levulose; Fructose/alpha-D-Glucose/D-Hexose//D-Fructose/beta-D-Galactose/Galactose/D-Tagatose; lyxo-Hexulose/myo-Inositol/Glucose/D-Galactose/alpha-D-Galactose/D-Mannose$D-Glyceraldehyde/D-Lactate/3-Hydroxypropanoate; 3-Hydroxypropanoic acid; 3-Hydroxypropionate; 3-Hydroxypropionic acid; Hydracrylic acid/L-Lactate/Dihydroxyacetone$Sphinganine$$3-Dehydrosphinganine/Sphingosine
Aspartate and asparagine metabolism	10	48	0.062095622216620454	E376,E884,E610,E778,E1282,E1408,E951,E450,E385,E605	CE5586/C00315,C00127,C00062/C00792,,C03740,C01029/C00612,C00020/C00362,C00051,C00217/C00025/C00302/C05938,C00327	dehydrospermidine/Spermidine$Oxidized glutathione$L-Arginine/D-Arginine; D-2-Amino-5-guanidinovaleric acid$$5-L-Glutamyl-L-alanine$/N1-Acetylspermidine$AMP/dGMP$Reduced glutathione$D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/DL-Glutamate; DL-Glutaminic acid; 2-Aminoglutaric acid; Glutamate/L-4-Hydroxyglutamate semialdehyde$L-Citrulline; 2-Amino-5-ureidovaleric acid; Citrulline
C5-Branched dibasic acid metabolism	1	1	0.06991009158894211	E232		
Pyruvate Metabolism	2	5	0.0736912864465171	E108,E450	C00577/C00256/C01013/C00186/C00184,C00051	D-Glyceraldehyde/D-Lactate/3-Hydroxypropanoate; 3-Hydroxypropanoic acid; 3-Hydroxypropionate; 3-Hydroxypropionic acid; Hydracrylic acid/L-Lactate/Dihydroxyacetone$Reduced glutathione
Putative anti-Inflammatory metabolites formation from EPA	2	5	0.0736912864465171	E450,E385	C00051,C00217/C00025/C00302/C05938	Reduced glutathione$D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/DL-Glutamate; DL-Glutaminic acid; 2-Aminoglutaric acid; Glutamate/L-4-Hydroxyglutamate semialdehyde
TCA cycle	2	5	0.0736912864465171	E146,E562	,C00074	$Phosphoenolpyruvate
Arachidonic acid metabolism	4	15	0.0736912864465171	E450,E884,E385,E951	C00051,C00127,C00217/C00025/C00302/C05938,C00020/C00362	Reduced glutathione$Oxidized glutathione$D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/DL-Glutamate; DL-Glutaminic acid; 2-Aminoglutaric acid; Glutamate/L-4-Hydroxyglutamate semialdehyde$AMP/dGMP
Arginine and Proline Metabolism	7	32	0.07402739265607933	E282,E146,E610,E912,E385,E605,E281	C00147,,C00062/C00792,C00170,C00217/C00025/C00302/C05938,C00327,C00147	Adenine$$L-Arginine/D-Arginine; D-2-Amino-5-guanidinovaleric acid$5-Methylthioadenosine$D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/DL-Glutamate; DL-Glutaminic acid; 2-Aminoglutaric acid; Glutamate/L-4-Hydroxyglutamate semialdehyde$L-Citrulline; 2-Amino-5-ureidovaleric acid; Citrulline$Adenine
Hexose phosphorylation	3	10	0.07738845475170154	E952,E235,E636	C05839,C00352/C06377,C00031/C00221/C00247/C02336/C00267/C00738/C00936/C00095/C00962/C01582/C00795/C00137/C00293/C00124/C00984/C00159	cis-beta-D-Glucosyl-2-hydroxycinnamate; beta-D-Glucosyl-2-coumarinate$D-Glucosamine 6-phosphate/D-Galactosamine 6-phosphate$D-Glucose/beta-D-Glucose/L-Sorbose; L-xylo-Hexulose/beta-D-Fructose; beta-Fruit sugar; beta-D-arabino-Hexulose; beta-Levulose; Fructose/alpha-D-Glucose/D-Hexose//D-Fructose/beta-D-Galactose/Galactose/D-Tagatose; lyxo-Hexulose/myo-Inositol/Glucose/D-Galactose/alpha-D-Galactose/D-Mannose
Pentose phosphate pathway	4	16	0.08881606587681708	E235,E276,E951,E636	C00352/C06377,,C00020/C00362,C00031/C00221/C00247/C02336/C00267/C00738/C00936/C00095/C00962/C01582/C00795/C00137/C00293/C00124/C00984/C00159	D-Glucosamine 6-phosphate/D-Galactosamine 6-phosphate$$AMP/dGMP$D-Glucose/beta-D-Glucose/L-Sorbose; L-xylo-Hexulose/beta-D-Fructose; beta-Fruit sugar; beta-D-arabino-Hexulose; beta-Levulose; Fructose/alpha-D-Glucose/D-Hexose//D-Fructose/beta-D-Galactose/Galactose/D-Tagatose; lyxo-Hexulose/myo-Inositol/Glucose/D-Galactose/alpha-D-Galactose/D-Mannose
Chondroitin sulfate degradation	2	6	0.10545332325014704	E753,E636	C01074/C01132/C00645/C00140,C00031/C00221/C00247/C02336/C00267/C00738/C00936/C00095/C00962/C01582/C00795/C00137/C00293/C00124/C00984/C00159	N-Acetylgalactosamine; N-Acetylchondrosamine; 2-Acetamido-2-deoxygalactose; GalNAc/N-Acetyl-D-galactosamine/N-Acetyl-D-mannosamine; 2-Acetamido-2-deoxy-D-mannose/N-Acetyl-D-glucosamine$D-Glucose/beta-D-Glucose/L-Sorbose; L-xylo-Hexulose/beta-D-Fructose; beta-Fruit sugar; beta-D-arabino-Hexulose; beta-Levulose; Fructose/alpha-D-Glucose/D-Hexose//D-Fructose/beta-D-Galactose/Galactose/D-Tagatose; lyxo-Hexulose/myo-Inositol/Glucose/D-Galactose/alpha-D-Galactose/D-Mannose
Heparan sulfate degradation	2	6	0.10545332325014704	E753,E636	C01074/C01132/C00645/C00140,C00031/C00221/C00247/C02336/C00267/C00738/C00936/C00095/C00962/C01582/C00795/C00137/C00293/C00124/C00984/C00159	N-Acetylgalactosamine; N-Acetylchondrosamine; 2-Acetamido-2-deoxygalactose; GalNAc/N-Acetyl-D-galactosamine/N-Acetyl-D-mannosamine; 2-Acetamido-2-deoxy-D-mannose/N-Acetyl-D-glucosamine$D-Glucose/beta-D-Glucose/L-Sorbose; L-xylo-Hexulose/beta-D-Fructose; beta-Fruit sugar; beta-D-arabino-Hexulose; beta-Levulose; Fructose/alpha-D-Glucose/D-Hexose//D-Fructose/beta-D-Galactose/Galactose/D-Tagatose; lyxo-Hexulose/myo-Inositol/Glucose/D-Galactose/alpha-D-Galactose/D-Mannose
Phytanic acid peroxisomal oxidation	2	6	0.10545332325014704	E146,E951	,C00020/C00362	$AMP/dGMP
Starch and Sucrose Metabolism	3	12	0.12755230652886312	E1389,E1400,E636	C00718/C05796,C02052/C01613,C00031/C00221/C00247/C02336/C00267/C00738/C00936/C00095/C00962/C01582/C00795/C00137/C00293/C00124/C00984/C00159	Amylose; Amylose chain; (1,4-alpha-D-Glucosyl)n; (1,4-alpha-D-Glucosyl)n+1; (1,4-alpha-D-Glucosyl)n-1; 4-{(1,4)-alpha-D-Glucosyl}(n-1)-D-glucose; 1,4-alpha-D-Glucan/Galactan$Maltotetraose/Stachyose$D-Glucose/beta-D-Glucose/L-Sorbose; L-xylo-Hexulose/beta-D-Fructose; beta-Fruit sugar; beta-D-arabino-Hexulose; beta-Levulose; Fructose/alpha-D-Glucose/D-Hexose//D-Fructose/beta-D-Galactose/Galactose/D-Tagatose; lyxo-Hexulose/myo-Inositol/Glucose/D-Galactose/alpha-D-Galactose/D-Mannose
Glycolysis and Gluconeogenesis	4	18	0.131921687253172	E108,E951,E562,E636	C00577/C00256/C01013/C00186/C00184,C00020/C00362,C00074,C00031/C00221/C00247/C02336/C00267/C00738/C00936/C00095/C00962/C01582/C00795/C00137/C00293/C00124/C00984/C00159	D-Glyceraldehyde/D-Lactate/3-Hydroxypropanoate; 3-Hydroxypropanoic acid; 3-Hydroxypropionate; 3-Hydroxypropionic acid; Hydracrylic acid/L-Lactate/Dihydroxyacetone$AMP/dGMP$Phosphoenolpyruvate$D-Glucose/beta-D-Glucose/L-Sorbose; L-xylo-Hexulose/beta-D-Fructose; beta-Fruit sugar; beta-D-arabino-Hexulose; beta-Levulose; Fructose/alpha-D-Glucose/D-Hexose//D-Fructose/beta-D-Galactose/Galactose/D-Tagatose; lyxo-Hexulose/myo-Inositol/Glucose/D-Galactose/alpha-D-Galactose/D-Mannose
Vitamin D3 (cholecalciferol) metabolism	1	2	0.14881102428367365	E1028		
Alkaloid biosynthesis II	1	2	0.14881102428367365	E951	C00020/C00362	AMP/dGMP
Ubiquinone Biosynthesis	1	2	0.14881102428367365	E951	C00020/C00362	AMP/dGMP
Leukotriene metabolism	3	13	0.16217124611377196	E951,E385,E450	C00020/C00362,C00217/C00025/C00302/C05938,C00051	AMP/dGMP$D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/DL-Glutamate; DL-Glutaminic acid; 2-Aminoglutaric acid; Glutamate/L-4-Hydroxyglutamate semialdehyde$Reduced glutathione
Glutamate metabolism	4	20	0.18821947735484412	E884,E146,E450,E385	C00127,,C00051,C00217/C00025/C00302/C05938	Oxidized glutathione$$Reduced glutathione$D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/DL-Glutamate; DL-Glutaminic acid; 2-Aminoglutaric acid; Glutamate/L-4-Hydroxyglutamate semialdehyde
N-Glycan Degradation	2	8	0.19435341567935469	E753,E636	C01074/C01132/C00645/C00140,C00031/C00221/C00247/C02336/C00267/C00738/C00936/C00095/C00962/C01582/C00795/C00137/C00293/C00124/C00984/C00159	N-Acetylgalactosamine; N-Acetylchondrosamine; 2-Acetamido-2-deoxygalactose; GalNAc/N-Acetyl-D-galactosamine/N-Acetyl-D-mannosamine; 2-Acetamido-2-deoxy-D-mannose/N-Acetyl-D-glucosamine$D-Glucose/beta-D-Glucose/L-Sorbose; L-xylo-Hexulose/beta-D-Fructose; beta-Fruit sugar; beta-D-arabino-Hexulose; beta-Levulose; Fructose/alpha-D-Glucose/D-Hexose//D-Fructose/beta-D-Galactose/Galactose/D-Tagatose; lyxo-Hexulose/myo-Inositol/Glucose/D-Galactose/alpha-D-Galactose/D-Mannose
Beta-Alanine metabolism	3	14	0.19435341567935469	E108,E376,E385	C00577/C00256/C01013/C00186/C00184,CE5586/C00315,C00217/C00025/C00302/C05938	D-Glyceraldehyde/D-Lactate/3-Hydroxypropanoate; 3-Hydroxypropanoic acid; 3-Hydroxypropionate; 3-Hydroxypropionic acid; Hydracrylic acid/L-Lactate/Dihydroxyacetone$dehydrospermidine/Spermidine$D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/DL-Glutamate; DL-Glutaminic acid; 2-Aminoglutaric acid; Glutamate/L-4-Hydroxyglutamate semialdehyde
Histidine metabolism	3	15	0.21855306276783465	E951,E385,E450	C00020/C00362,C00217/C00025/C00302/C05938,C00051	AMP/dGMP$D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/DL-Glutamate; DL-Glutaminic acid; 2-Aminoglutaric acid; Glutamate/L-4-Hydroxyglutamate semialdehyde$Reduced glutathione
Hyaluronan Metabolism	1	3	0.22401478867322075	E753	C01074/C01132/C00645/C00140	N-Acetylgalactosamine; N-Acetylchondrosamine; 2-Acetamido-2-deoxygalactose; GalNAc/N-Acetyl-D-galactosamine/N-Acetyl-D-mannosamine; 2-Acetamido-2-deoxy-D-mannose/N-Acetyl-D-glucosamine
Di-unsaturated fatty acid beta-oxidation	1	3	0.22401478867322075	E951	C00020/C00362	AMP/dGMP
Vitamin B2 (riboflavin) metabolism	1	3	0.22401478867322075	E951	C00020/C00362	AMP/dGMP
Vitamin B5 - CoA biosynthesis from pantothenate	1	3	0.22401478867322075	E951	C00020/C00362	AMP/dGMP
Glycosphingolipid biosynthesis - lactoseries	1	3	0.22401478867322075	E907	C00128	CMP-N-acetylneuraminate
Blood Group Biosynthesis	1	3	0.22401478867322075	E907	C00128	CMP-N-acetylneuraminate
Lipoate metabolism	1	3	0.22401478867322075	E1414	C00725/C04593/C02225	Lipoate; Lipoic acid; alpha-Lipoic acid; Thioctic acid/(2S,3R)-3-Hydroxybutane-1,2,3-tricarboxylate; Methylisocitrate; Methylisocitric acid/2-Methylcitrate; 2-Hydroxybutane-1,2,3-tricarboxylate; (2R,3S)-2-Hydroxybutane-1,2,3-tricarboxylate
CoA Catabolism	1	3	0.22401478867322075	E951	C00020/C00362	AMP/dGMP
Mono-unsaturated fatty acid beta-oxidation	1	3	0.22401478867322075	E951	C00020/C00362	AMP/dGMP
Glycosphingolipid biosynthesis - neolactoseries	1	3	0.22401478867322075	E907	C00128	CMP-N-acetylneuraminate
D4&E4-neuroprostanes formation	1	3	0.22401478867322075	E974		
O-Glycan biosynthesis	1	3	0.22401478867322075	E907	C00128	CMP-N-acetylneuraminate
Omega-6 fatty acid metabolism	1	3	0.22401478867322075	E951	C00020/C00362	AMP/dGMP
Glycine, serine, alanine and threonine metabolism	6	35	0.22569531972103185	E610,E736,E108,E951,E450,E385	C00062/C00792,,C00577/C00256/C01013/C00186/C00184,C00020/C00362,C00051,C00217/C00025/C00302/C05938	L-Arginine/D-Arginine; D-2-Amino-5-guanidinovaleric acid$$D-Glyceraldehyde/D-Lactate/3-Hydroxypropanoate; 3-Hydroxypropanoic acid; 3-Hydroxypropionate; 3-Hydroxypropionic acid; Hydracrylic acid/L-Lactate/Dihydroxyacetone$AMP/dGMP$Reduced glutathione$D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/DL-Glutamate; DL-Glutaminic acid; 2-Aminoglutaric acid; Glutamate/L-4-Hydroxyglutamate semialdehyde
N-Glycan biosynthesis	2	9	0.22586337282581295	E907,E636	C00128,C00031/C00221/C00247/C02336/C00267/C00738/C00936/C00095/C00962/C01582/C00795/C00137/C00293/C00124/C00984/C00159	CMP-N-acetylneuraminate$D-Glucose/beta-D-Glucose/L-Sorbose; L-xylo-Hexulose/beta-D-Fructose; beta-Fruit sugar; beta-D-arabino-Hexulose; beta-Levulose; Fructose/alpha-D-Glucose/D-Hexose//D-Fructose/beta-D-Galactose/Galactose/D-Tagatose; lyxo-Hexulose/myo-Inositol/Glucose/D-Galactose/alpha-D-Galactose/D-Mannose
